-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2019 in LST
Location: latitude  25.59   longitude 85.13 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 59.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,PRECTOTCORR
2015,1,1,18.15,65.35,4.62
2015,1,2,18.71,82.94,3.53
2015,1,3,19.82,85.98,3.84
2015,1,4,19.09,78.63,0.49
2015,1,5,15.52,61.48,0.0
2015,1,6,13.05,61.44,0.0
2015,1,7,14.32,59.42,0.0
2015,1,8,14.32,61.44,0.0
2015,1,9,13.28,60.91,0.0
2015,1,10,12.03,55.75,0.0
2015,1,11,12.1,52.74,0.0
2015,1,12,12.75,49.93,0.0
2015,1,13,13.11,51.57,0.0
2015,1,14,14.54,48.42,0.0
2015,1,15,14.86,51.73,0.0
2015,1,16,13.89,61.1,0.02
2015,1,17,13.15,57.94,0.0
2015,1,18,13.37,61.87,0.0
2015,1,19,12.77,55.93,0.0
2015,1,20,12.75,49.64,0.0
2015,1,21,13.69,46.94,0.0
2015,1,22,15.9,45.0,0.0
2015,1,23,17.44,60.64,0.01
2015,1,24,17.84,67.82,0.08
2015,1,25,16.74,56.14,0.0
2015,1,26,17.3,65.05,0.01
2015,1,27,17.75,77.05,1.61
2015,1,28,18.39,71.2,1.62
2015,1,29,17.36,68.12,5.03
2015,1,30,14.63,52.12,0.0
2015,1,31,13.81,46.29,0.0
2015,2,1,14.38,45.65,0.0
2015,2,2,17.03,41.78,0.0
2015,2,3,19.43,40.32,0.0
2015,2,4,19.41,49.07,0.0
2015,2,5,16.29,46.26,0.0
2015,2,6,15.14,40.8,0.0
2015,2,7,16.93,42.33,0.0
2015,2,8,19.3,54.7,0.26
2015,2,9,18.66,66.55,0.0
2015,2,10,18.33,48.11,0.0
2015,2,11,17.32,44.06,0.0
2015,2,12,18.56,48.82,0.11
2015,2,13,18.36,50.41,0.0
2015,2,14,18.78,40.77,0.0
2015,2,15,19.76,43.56,0.0
2015,2,16,19.61,52.39,0.07
2015,2,17,21.71,53.44,0.0
2015,2,18,22.77,53.81,0.0
2015,2,19,23.0,46.0,0.06
2015,2,20,22.99,40.78,0.0
2015,2,21,23.78,39.28,0.0
2015,2,22,23.35,42.51,0.19
2015,2,23,24.54,37.5,0.12
2015,2,24,24.75,38.43,0.0
2015,2,25,24.94,37.54,0.0
2015,2,26,25.27,37.62,0.06
2015,2,27,23.95,52.06,0.72
2015,2,28,25.64,44.75,0.12
