-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2019 in LST
Location: latitude  18.52   longitude 73.85 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 635.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,PRECTOTCORR
2015,1,1,17.97,75.39,0.23
2015,1,2,17.65,78.95,0.04
2015,1,3,17.92,78.15,0.0
2015,1,4,18.99,76.85,0.0
2015,1,5,19.6,66.22,0.0
2015,1,6,19.04,66.96,0.0
2015,1,7,18.26,58.73,0.0
2015,1,8,17.51,48.21,0.0
2015,1,9,17.47,48.06,0.0
2015,1,10,17.05,45.31,0.0
2015,1,11,16.89,44.95,0.0
2015,1,12,17.47,42.63,0.0
2015,1,13,17.87,43.07,0.0
2015,1,14,18.65,42.48,0.0
2015,1,15,18.58,44.01,0.0
2015,1,16,18.84,48.24,0.0
2015,1,17,19.23,44.76,0.0
2015,1,18,19.02,50.53,0.0
2015,1,19,19.48,54.88,0.0
2015,1,20,18.84,65.53,0.0
2015,1,21,18.66,67.03,0.0
2015,1,22,19.01,73.07,0.0
2015,1,23,19.26,71.96,0.0
2015,1,24,20.79,63.83,0.21
2015,1,25,21.1,61.89,0.17
2015,1,26,19.8,66.18,0.0
2015,1,27,19.53,63.25,0.0
2015,1,28,20.15,61.09,0.0
2015,1,29,20.64,59.88,0.0
2015,1,30,21.09,54.12,0.0
2015,1,31,21.71,46.87,0.0
2015,2,1,21.19,50.09,0.0
2015,2,2,21.66,50.09,0.0
2015,2,3,21.96,46.4,0.0
2015,2,4,22.19,40.66,0.0
2015,2,5,22.2,37.22,0.0
2015,2,6,21.82,42.43,0.0
2015,2,7,21.4,47.67,0.0
2015,2,8,19.99,50.83,0.0
2015,2,9,21.14,44.09,0.0
2015,2,10,23.55,47.64,0.08
2015,2,11,22.56,49.97,0.0
2015,2,12,22.08,46.66,0.0
2015,2,13,22.24,40.11,0.0
2015,2,14,22.28,37.52,0.0
2015,2,15,22.67,38.45,0.0
2015,2,16,23.12,37.29,0.0
2015,2,17,23.18,37.28,0.0
2015,2,18,22.18,37.83,0.0
2015,2,19,22.55,49.91,0.0
2015,2,20,23.16,40.9,0.0
2015,2,21,24.07,32.81,0.0
2015,2,22,24.72,33.54,0.0
2015,2,23,24.12,34.07,0.0
2015,2,24,24.38,42.31,0.0
2015,2,25,23.3,49.88,0.0
2015,2,26,21.7,51.85,0.0
2015,2,27,20.88,51.63,0.0
2015,2,28,20.87,66.25,14.91
2015,3,1,19.9,82.23,17.15
2015,3,2,19.17,74.75,1.13
2015,3,3,18.01,64.59,0.0
2015,3,4,18.13,55.22,0.0
2015,3,5,20.25,53.75,0.0
2015,3,6,22.26,48.04,0.0
2015,3,7,22.94,43.26,0.0
2015,3,8,23.24,45.81,0.0
2015,3,9,23.68,50.04,0.0
2015,3,10,25.59,58.9,0.8
2015,3,11,25.12,57.95,0.32
2015,3,12,26.24,45.78,0.0
2015,3,13,26.42,49.15,1.12
2015,3,14,26.14,54.76,1.58
2015,3,15,23.92,66.11,0.35
2015,3,16,23.31,63.04,0.01
2015,3,17,23.95,44.84,0.0
2015,3,18,25.72,40.82,0.0
2015,3,19,27.48,43.43,0.0
2015,3,20,28.02,41.8,0.0
2015,3,21,28.55,42.05,0.0
2015,3,22,28.96,41.01,0.0
2015,3,23,28.6,36.58,0.0
2015,3,24,29.31,34.55,0.0
2015,3,25,29.67,34.54,0.0
2015,3,26,30.09,40.1,0.0
2015,3,27,29.49,46.11,0.03
2015,3,28,29.1,48.14,0.12
2015,3,29,27.79,49.59,2.6
2015,3,30,27.81,47.2,0.41
2015,3,31,27.32,33.34,0.0
2015,4,1,27.39,29.11,0.0
2015,4,2,26.29,38.19,0.0
2015,4,3,25.55,52.84,0.0
2015,4,4,24.67,52.11,0.0
2015,4,5,25.83,56.74,0.0
2015,4,6,26.12,51.43,0.0
2015,4,7,25.78,54.56,0.0
2015,4,8,27.57,54.96,0.0
2015,4,9,28.33,53.11,0.0
2015,4,10,27.91,59.07,0.05
2015,4,11,27.66,56.63,0.24
2015,4,12,26.11,51.72,0.12
2015,4,13,25.23,52.62,0.37
2015,4,14,26.1,51.18,0.04
2015,4,15,27.81,46.46,0.0
2015,4,16,28.91,43.46,0.01
2015,4,17,29.74,45.29,0.0
2015,4,18,29.79,47.19,0.0
2015,4,19,31.12,35.32,0.0
2015,4,20,31.96,34.27,0.0
2015,4,21,31.47,37.16,0.0
2015,4,22,29.97,51.34,0.0
2015,4,23,29.22,49.93,0.0
2015,4,24,28.23,45.77,0.0
2015,4,25,27.53,47.95,0.0
2015,4,26,28.2,52.49,0.0
